[2020-07-21 07:13:04] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:13:04] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[192931584]
[2020-07-21 07:13:04] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[184538880]
[2020-07-21 07:14:01] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:14:02] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:14:02] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1384143104]
[2020-07-21 07:14:02] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1392535808]
[2020-07-21 07:14:36] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:14:38] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:14:38] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1988085504]
[2020-07-21 07:14:38] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1979692800]
[2020-07-21 07:17:34] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:17:36] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:17:36] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1593825024]
[2020-07-21 07:17:36] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1602217728]
[2020-07-21 07:20:03] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:20:05] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:20:05] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1761580800]
[2020-07-21 07:20:05] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1342174976]
[2020-07-21 07:21:48] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-07-21 07:21:50] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2020-07-21 07:21:50] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1459607296]
[2020-07-21 07:21:50] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1451214592]
[2020-07-23 02:39:55] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
